id_movimento,vlr_transacao_movimento,descricao_transacao_movimento,data_transacao_movimento,id_cartao
99,249.89,Loja de Roupas - Vestuário,2020-01-01,25
100,152.69,Cinema - Ingresso,2020-01-01,213
101,109.33,Supermercado - Compra de alimentos,2020-01-02,90
102,409.11,Restaurante - Refeição,2020-01-02,245
103,297.95,Eletrônicos - Acessórios,2020-01-02,215
104,419.38,Supermercado - Compra de alimentos,2020-01-02,196
105,274.46,Eletrônicos - Acessórios,2020-01-02,221
106,172.51,Restaurante - Refeição,2020-01-02,91
107,80.77,Livraria - Compra de livros,2020-01-02,10
108,455.79,Posto de Gasolina - Abastecimento,2020-01-02,197
109,344.96,Livraria - Compra de livros,2020-01-02,139
110,300.78,Eletrônicos - Acessórios,2020-01-02,123
111,70.86,Posto de Gasolina - Abastecimento,2020-01-02,58
112,245.11,E-commerce - Compra online,2020-01-02,140
113,57.68,Restaurante - Refeição,2020-01-02,110
114,385.03,Farmácia - Medicamentos,2020-01-02,29
115,208.75,Restaurante - Refeição,2020-01-02,176
116,466.68,Cinema - Ingresso,2020-01-02,250
117,6.59,Eletrônicos - Acessórios,2020-01-02,122
118,385.81,Restaurante - Refeição,2020-01-02,151
119,261.2,E-commerce - Compra online,2020-01-02,223
120,10.89,Cinema - Ingresso,2020-01-02,155
121,226.11,Posto de Gasolina - Abastecimento,2020-01-02,153
122,133.65,Eletrônicos - Acessórios,2020-01-02,96
123,163.61,Cinema - Ingresso,2020-01-02,151
124,97.01,Livraria - Compra de livros,2020-01-02,225
125,112.44,Loja de Roupas - Vestuário,2020-01-02,231
126,228.63,Livraria - Compra de livros,2020-01-02,198
127,247.3,Eletrônicos - Acessórios,2020-01-02,95
128,492.23,Posto de Gasolina - Abastecimento,2020-01-02,177
129,493.72,Cinema - Ingresso,2020-01-02,243
130,223.92,E-commerce - Compra online,2020-01-02,151
131,19.18,Cinema - Ingresso,2020-01-02,156
132,327.72,E-commerce - Compra online,2020-01-02,39
133,108.54,Cinema - Ingresso,2020-01-02,249
134,105.41,Cinema - Ingresso,2020-01-02,235
135,251.18,Posto de Gasolina - Abastecimento,2020-01-02,194
136,497.17,Restaurante - Refeição,2020-01-02,171
137,122.8,Posto de Gasolina - Abastecimento,2020-01-02,7
138,277.92,Supermercado - Compra de alimentos,2020-01-02,245
139,161.78,Cinema - Ingresso,2020-01-02,172
140,422.8,Academia - Mensalidade,2020-01-02,175
141,325.23,Eletrônicos - Acessórios,2020-01-02,41
142,491.51,E-commerce - Compra online,2020-01-02,72
143,29.6,Livraria - Compra de livros,2020-01-02,10
144,120.15,Cinema - Ingresso,2020-01-02,26
145,496.35,Farmácia - Medicamentos,2020-01-02,52
146,273.99,Farmácia - Medicamentos,2020-01-02,4
147,239.27,Academia - Mensalidade,2020-01-02,245
148,132.39,Academia - Mensalidade,2020-01-02,115
149,405.91,Posto de Gasolina - Abastecimento,2020-01-02,66
150,302.18,Farmácia - Medicamentos,2020-01-02,7
151,453.54,Livraria - Compra de livros,2020-01-02,120
152,420.83,Farmácia - Medicamentos,2020-01-02,169
153,442.87,E-commerce - Compra online,2020-01-02,190
154,309.05,E-commerce - Compra online,2020-01-02,133
155,456.84,Farmácia - Medicamentos,2020-01-02,41
156,65.93,Posto de Gasolina - Abastecimento,2020-01-02,100
157,282.27,E-commerce - Compra online,2020-01-02,24
158,274.64,Loja de Roupas - Vestuário,2020-01-02,179
159,207.17,Farmácia - Medicamentos,2020-01-02,177
160,164.99,Academia - Mensalidade,2020-01-02,157
161,376.16,Posto de Gasolina - Abastecimento,2020-01-02,161
162,285.19,Supermercado - Compra de alimentos,2020-01-02,152
163,13.37,Academia - Mensalidade,2020-01-02,133
164,204.96,Restaurante - Refeição,2020-01-02,88
165,228.57,Cinema - Ingresso,2020-01-02,128
166,141.38,Livraria - Compra de livros,2020-01-02,124
167,333.61,Academia - Mensalidade,2020-01-02,155
168,337.12,Loja de Roupas - Vestuário,2020-01-02,127
169,409.41,Posto de Gasolina - Abastecimento,2020-01-02,111
170,485.45,E-commerce - Compra online,2020-01-02,196
171,287.79,E-commerce - Compra online,2020-01-02,12
172,301.4,E-commerce - Compra online,2020-01-02,214
173,412.43,Supermercado - Compra de alimentos,2020-01-02,110
174,162.22,Farmácia - Medicamentos,2020-01-02,135
175,293.6,Supermercado - Compra de alimentos,2020-01-02,116
176,309.22,Farmácia - Medicamentos,2020-01-02,110
177,493.18,Supermercado - Compra de alimentos,2020-01-02,38
178,399.32,Farmácia - Medicamentos,2020-01-02,86
179,137.11,E-commerce - Compra online,2020-01-02,110
180,277.02,Loja de Roupas - Vestuário,2020-01-02,247
181,278.47,Cinema - Ingresso,2020-01-02,35
182,43.27,Eletrônicos - Acessórios,2020-01-02,147
183,313.09,Livraria - Compra de livros,2020-01-02,180
184,56.59,Posto de Gasolina - Abastecimento,2020-01-02,30
185,58.17,E-commerce - Compra online,2020-01-02,141
186,271.58,Academia - Mensalidade,2020-01-02,28
187,188.42,Posto de Gasolina - Abastecimento,2020-01-02,188
188,454.49,Supermercado - Compra de alimentos,2020-01-02,111
189,481.23,Restaurante - Refeição,2020-01-02,138
190,121.34,Eletrônicos - Acessórios,2020-01-02,90
191,496.04,Restaurante - Refeição,2020-01-02,239
192,162.45,Farmácia - Medicamentos,2020-01-02,38
193,431.33,Restaurante - Refeição,2020-01-02,179
194,269.49,Farmácia - Medicamentos,2020-01-02,98
195,268.26,Eletrônicos - Acessórios,2020-01-02,49
196,438.49,Loja de Roupas - Vestuário,2020-01-02,5
197,471.75,Eletrônicos - Acessórios,2020-01-02,132
198,64.93,Livraria - Compra de livros,2020-01-02,237
199,476.28,Restaurante - Refeição,2020-01-02,1
200,83.03,Loja de Roupas - Vestuário,2020-01-02,180
201,445.88,Farmácia - Medicamentos,2020-01-03,27
202,19.46,Eletrônicos - Acessórios,2020-01-03,239
203,273.51,Posto de Gasolina - Abastecimento,2020-01-03,19
204,161.01,Supermercado - Compra de alimentos,2020-01-03,133
205,213.91,Eletrônicos - Acessórios,2020-01-03,108
206,381.17,Livraria - Compra de livros,2020-01-03,109
207,163.24,Livraria - Compra de livros,2020-01-03,33
208,301.94,Livraria - Compra de livros,2020-01-03,63
209,166.99,E-commerce - Compra online,2020-01-03,102
210,341.37,Farmácia - Medicamentos,2020-01-03,79
211,51.75,Cinema - Ingresso,2020-01-03,243
212,189.5,Restaurante - Refeição,2020-01-03,248
213,334.98,Supermercado - Compra de alimentos,2020-01-03,243
214,345.62,Eletrônicos - Acessórios,2020-01-03,194
215,86.98,Farmácia - Medicamentos,2020-01-03,178
216,151.76,Cinema - Ingresso,2020-01-03,70
217,364.8,Cinema - Ingresso,2020-01-03,175
218,123.04,Cinema - Ingresso,2020-01-03,116
219,112.14,E-commerce - Compra online,2020-01-03,120
220,88.88,Posto de Gasolina - Abastecimento,2020-01-03,96
221,292.15,Cinema - Ingresso,2020-01-03,147
222,197.97,Livraria - Compra de livros,2020-01-03,237
223,173.34,Supermercado - Compra de alimentos,2020-01-03,211
224,319.37,Posto de Gasolina - Abastecimento,2020-01-03,186
225,176.77,Posto de Gasolina - Abastecimento,2020-01-03,117
226,398.77,Loja de Roupas - Vestuário,2020-01-03,227
227,348.34,Livraria - Compra de livros,2020-01-03,226
228,172.99,Livraria - Compra de livros,2020-01-03,197
229,126.7,Farmácia - Medicamentos,2020-01-03,2
230,22.2,Livraria - Compra de livros,2020-01-03,239
231,277.26,Livraria - Compra de livros,2020-01-03,196
232,40.74,Restaurante - Refeição,2020-01-03,120
233,338.45,Livraria - Compra de livros,2020-01-03,241
234,419.42,Loja de Roupas - Vestuário,2020-01-03,205
235,15.84,Supermercado - Compra de alimentos,2020-01-03,160
236,165.88,Eletrônicos - Acessórios,2020-01-03,191
237,396.74,Livraria - Compra de livros,2020-01-03,105
238,352.12,Academia - Mensalidade,2020-01-03,96
239,447.96,Livraria - Compra de livros,2020-01-03,91
240,20.39,Supermercado - Compra de alimentos,2020-01-03,6
241,162.91,Livraria - Compra de livros,2020-01-03,148
242,289.68,Loja de Roupas - Vestuário,2020-01-03,206
243,434.51,Academia - Mensalidade,2020-01-03,105
244,251.82,Posto de Gasolina - Abastecimento,2020-01-03,121
245,57.64,Loja de Roupas - Vestuário,2020-01-03,206
246,396.79,Posto de Gasolina - Abastecimento,2020-01-03,40
247,124.94,Supermercado - Compra de alimentos,2020-01-03,152
248,449.69,Farmácia - Medicamentos,2020-01-03,222
249,233.14,Livraria - Compra de livros,2020-01-03,92
250,306.45,Livraria - Compra de livros,2020-01-03,171
251,213.02,Restaurante - Refeição,2020-01-03,248
252,202.37,Farmácia - Medicamentos,2020-01-03,182
253,410.54,Loja de Roupas - Vestuário,2020-01-03,231
254,436.4,Farmácia - Medicamentos,2020-01-03,11
255,38.66,Livraria - Compra de livros,2020-01-03,122
256,14.33,Loja de Roupas - Vestuário,2020-01-03,8
257,486.62,Livraria - Compra de livros,2020-01-03,29
258,315.4,Restaurante - Refeição,2020-01-03,21
259,208.04,Farmácia - Medicamentos,2020-01-03,149
260,87.93,Restaurante - Refeição,2020-01-03,19
261,176.02,Loja de Roupas - Vestuário,2020-01-03,172
262,269.9,Livraria - Compra de livros,2020-01-03,149
263,474.96,Loja de Roupas - Vestuário,2020-01-03,51
264,280.98,Supermercado - Compra de alimentos,2020-01-03,104
265,214.98,Farmácia - Medicamentos,2020-01-03,57
266,403.62,Academia - Mensalidade,2020-01-03,1
267,213.58,Loja de Roupas - Vestuário,2020-01-03,237
268,131.82,Farmácia - Medicamentos,2020-01-03,240
269,261.91,Eletrônicos - Acessórios,2020-01-03,97
270,264.59,Eletrônicos - Acessórios,2020-01-03,248
271,283.72,Farmácia - Medicamentos,2020-01-03,196
272,498.84,Supermercado - Compra de alimentos,2020-01-03,222
273,112.4,Supermercado - Compra de alimentos,2020-01-03,111
274,477.11,Supermercado - Compra de alimentos,2020-01-03,91
275,436.63,E-commerce - Compra online,2020-01-03,111
276,69.04,Posto de Gasolina - Abastecimento,2020-01-03,109
277,91.69,Supermercado - Compra de alimentos,2020-01-03,157
278,171.74,E-commerce - Compra online,2020-01-03,37
279,486.31,Supermercado - Compra de alimentos,2020-01-03,89
280,267.62,Restaurante - Refeição,2020-01-03,137
281,208.86,Cinema - Ingresso,2020-01-03,68
282,319.95,Eletrônicos - Acessórios,2020-01-03,227
283,162.48,Eletrônicos - Acessórios,2020-01-03,169
284,249.96,Loja de Roupas - Vestuário,2020-01-03,175
285,149.33,Academia - Mensalidade,2020-01-03,11
286,54.31,E-commerce - Compra online,2020-01-03,147
287,96.83,Farmácia - Medicamentos,2020-01-03,189
288,76.08,Livraria - Compra de livros,2020-01-03,185
289,174.45,Loja de Roupas - Vestuário,2020-01-03,186
290,186.12,E-commerce - Compra online,2020-01-03,157
291,310.53,Academia - Mensalidade,2020-01-03,139
292,97.99,Academia - Mensalidade,2020-01-03,55
293,246.29,Eletrônicos - Acessórios,2020-01-03,2
294,495.54,Academia - Mensalidade,2020-01-03,245
295,430.25,Supermercado - Compra de alimentos,2020-01-03,78
296,147.0,Academia - Mensalidade,2020-01-03,58
297,65.98,E-commerce - Compra online,2020-01-03,215
298,8.48,Loja de Roupas - Vestuário,2020-01-03,158
299,350.87,Cinema - Ingresso,2020-01-03,74
300,191.46,Supermercado - Compra de alimentos,2020-01-03,2
301,115.56,Posto de Gasolina - Abastecimento,2020-01-04,172
302,196.05,Restaurante - Refeição,2020-01-04,160
303,403.56,Eletrônicos - Acessórios,2020-01-04,99
304,400.8,Farmácia - Medicamentos,2020-01-04,54
305,414.46,Farmácia - Medicamentos,2020-01-04,178
306,455.0,Academia - Mensalidade,2020-01-04,160
307,340.24,Academia - Mensalidade,2020-01-04,17
308,231.4,Academia - Mensalidade,2020-01-04,68
309,58.61,Restaurante - Refeição,2020-01-04,129
310,372.09,E-commerce - Compra online,2020-01-04,126
311,328.8,Posto de Gasolina - Abastecimento,2020-01-04,11
312,144.5,E-commerce - Compra online,2020-01-04,1
313,185.58,Posto de Gasolina - Abastecimento,2020-01-04,42
314,434.67,E-commerce - Compra online,2020-01-04,106
315,229.62,E-commerce - Compra online,2020-01-04,78
316,439.25,E-commerce - Compra online,2020-01-04,99
317,418.4,Academia - Mensalidade,2020-01-04,227
318,418.01,Restaurante - Refeição,2020-01-04,180
319,141.93,Supermercado - Compra de alimentos,2020-01-04,120
320,416.91,Supermercado - Compra de alimentos,2020-01-04,124
321,108.88,E-commerce - Compra online,2020-01-04,245
322,264.27,Farmácia - Medicamentos,2020-01-04,96
323,16.02,Academia - Mensalidade,2020-01-04,120
324,427.38,Restaurante - Refeição,2020-01-04,50
325,342.06,Posto de Gasolina - Abastecimento,2020-01-04,87
326,265.83,Supermercado - Compra de alimentos,2020-01-04,97
327,460.29,Posto de Gasolina - Abastecimento,2020-01-04,10
328,50.9,Posto de Gasolina - Abastecimento,2020-01-04,127
329,58.99,Eletrônicos - Acessórios,2020-01-04,183
330,108.7,Loja de Roupas - Vestuário,2020-01-04,221
331,151.51,Livraria - Compra de livros,2020-01-04,177
332,66.61,Academia - Mensalidade,2020-01-04,41
333,92.24,Livraria - Compra de livros,2020-01-04,41
334,52.66,Livraria - Compra de livros,2020-01-04,11
335,133.73,Eletrônicos - Acessórios,2020-01-04,112
336,72.74,Supermercado - Compra de alimentos,2020-01-04,238
337,449.02,Supermercado - Compra de alimentos,2020-01-04,184
338,144.18,E-commerce - Compra online,2020-01-04,174
339,355.8,Academia - Mensalidade,2020-01-04,240
340,355.91,Supermercado - Compra de alimentos,2020-01-04,30
341,343.0,Eletrônicos - Acessórios,2020-01-04,142
342,182.17,Farmácia - Medicamentos,2020-01-04,118
343,345.93,Eletrônicos - Acessórios,2020-01-04,90
344,290.0,E-commerce - Compra online,2020-01-04,195
345,337.82,Cinema - Ingresso,2020-01-04,64
346,333.75,Loja de Roupas - Vestuário,2020-01-04,139
347,330.6,Restaurante - Refeição,2020-01-04,136
348,187.45,Livraria - Compra de livros,2020-01-04,184
349,430.19,Farmácia - Medicamentos,2020-01-04,74
350,325.19,Livraria - Compra de livros,2020-01-04,120
351,408.39,Restaurante - Refeição,2020-01-04,101
352,137.16,E-commerce - Compra online,2020-01-04,16
353,275.5,Cinema - Ingresso,2020-01-04,7
354,8.04,Loja de Roupas - Vestuário,2020-01-04,68
355,349.61,Cinema - Ingresso,2020-01-04,179
356,263.9,Academia - Mensalidade,2020-01-04,146
357,258.97,Restaurante - Refeição,2020-01-04,56
358,340.18,Livraria - Compra de livros,2020-01-04,191
359,214.9,Academia - Mensalidade,2020-01-04,210
360,287.37,Cinema - Ingresso,2020-01-04,215
361,315.1,Cinema - Ingresso,2020-01-04,51
362,380.33,Posto de Gasolina - Abastecimento,2020-01-04,61
363,329.48,Livraria - Compra de livros,2020-01-04,182
364,294.7,Academia - Mensalidade,2020-01-04,181
365,116.1,Eletrônicos - Acessórios,2020-01-04,130
366,166.19,Supermercado - Compra de alimentos,2020-01-04,188
367,227.91,Supermercado - Compra de alimentos,2020-01-04,148
368,341.22,Farmácia - Medicamentos,2020-01-04,166
369,478.81,Restaurante - Refeição,2020-01-04,115
370,268.71,Supermercado - Compra de alimentos,2020-01-04,144
371,157.07,Posto de Gasolina - Abastecimento,2020-01-04,42
372,301.66,Restaurante - Refeição,2020-01-04,189
373,236.8,Farmácia - Medicamentos,2020-01-04,167
374,121.04,Loja de Roupas - Vestuário,2020-01-04,155
375,193.83,Supermercado - Compra de alimentos,2020-01-04,91
376,16.78,E-commerce - Compra online,2020-01-04,159
377,260.52,Loja de Roupas - Vestuário,2020-01-04,142
378,14.04,Eletrônicos - Acessórios,2020-01-04,79
379,363.85,Posto de Gasolina - Abastecimento,2020-01-04,160
380,262.27,Eletrônicos - Acessórios,2020-01-04,187
381,378.49,E-commerce - Compra online,2020-01-04,50
382,166.39,Eletrônicos - Acessórios,2020-01-04,120
383,181.2,Eletrônicos - Acessórios,2020-01-04,41
384,433.94,Loja de Roupas - Vestuário,2020-01-04,66
385,217.28,Posto de Gasolina - Abastecimento,2020-01-04,29
386,100.19,Academia - Mensalidade,2020-01-04,81
387,5.76,Supermercado - Compra de alimentos,2020-01-04,221
388,82.31,Cinema - Ingresso,2020-01-04,93
389,376.14,Supermercado - Compra de alimentos,2020-01-04,113
390,273.03,Posto de Gasolina - Abastecimento,2020-01-04,3
391,58.67,Posto de Gasolina - Abastecimento,2020-01-04,60
392,281.44,Restaurante - Refeição,2020-01-04,43
393,216.22,Eletrônicos - Acessórios,2020-01-04,77
394,286.92,Livraria - Compra de livros,2020-01-04,181
395,345.4,Restaurante - Refeição,2020-01-04,220
396,164.31,Eletrônicos - Acessórios,2020-01-04,187
397,141.71,Posto de Gasolina - Abastecimento,2020-01-04,217
398,490.76,Farmácia - Medicamentos,2020-01-04,148
399,97.37,Livraria - Compra de livros,2020-01-04,43
400,81.76,Livraria - Compra de livros,2020-01-04,13
401,429.77,Cinema - Ingresso,2020-01-05,208
402,374.38,Farmácia - Medicamentos,2020-01-05,167
403,196.07,Loja de Roupas - Vestuário,2020-01-05,93
404,201.05,E-commerce - Compra online,2020-01-05,87
405,443.01,E-commerce - Compra online,2020-01-05,73
406,419.56,Eletrônicos - Acessórios,2020-01-05,104
407,83.96,Loja de Roupas - Vestuário,2020-01-05,76
408,59.09,Posto de Gasolina - Abastecimento,2020-01-05,158
409,24.29,Academia - Mensalidade,2020-01-05,216
410,35.08,Posto de Gasolina - Abastecimento,2020-01-05,121
411,388.65,Restaurante - Refeição,2020-01-05,52
412,456.85,Restaurante - Refeição,2020-01-05,112
413,171.01,Cinema - Ingresso,2020-01-05,115
414,333.06,Eletrônicos - Acessórios,2020-01-05,224
415,200.99,Supermercado - Compra de alimentos,2020-01-05,156
416,76.77,Supermercado - Compra de alimentos,2020-01-05,34
417,268.07,Loja de Roupas - Vestuário,2020-01-05,64
418,348.85,Loja de Roupas - Vestuário,2020-01-05,116
419,369.38,E-commerce - Compra online,2020-01-05,161
420,159.35,E-commerce - Compra online,2020-01-05,158
421,83.69,Livraria - Compra de livros,2020-01-05,179
422,481.38,Cinema - Ingresso,2020-01-05,114
423,293.62,Posto de Gasolina - Abastecimento,2020-01-05,225
424,15.82,Loja de Roupas - Vestuário,2020-01-05,152
425,280.74,E-commerce - Compra online,2020-01-05,206
426,384.22,Eletrônicos - Acessórios,2020-01-05,200
427,385.99,Cinema - Ingresso,2020-01-05,206
428,378.62,Academia - Mensalidade,2020-01-05,235
429,61.44,Farmácia - Medicamentos,2020-01-05,227
430,101.06,Academia - Mensalidade,2020-01-05,52
431,485.0,Livraria - Compra de livros,2020-01-05,234
432,237.06,Farmácia - Medicamentos,2020-01-05,162
433,44.74,Livraria - Compra de livros,2020-01-05,165
434,295.21,Eletrônicos - Acessórios,2020-01-05,127
435,161.42,Eletrônicos - Acessórios,2020-01-05,228
436,362.45,Academia - Mensalidade,2020-01-05,24
437,92.5,E-commerce - Compra online,2020-01-05,35
438,457.84,Supermercado - Compra de alimentos,2020-01-05,198
439,261.74,Farmácia - Medicamentos,2020-01-05,131
440,76.86,Posto de Gasolina - Abastecimento,2020-01-05,75
441,272.49,Livraria - Compra de livros,2020-01-05,27
442,374.64,Cinema - Ingresso,2020-01-05,63
443,113.73,Livraria - Compra de livros,2020-01-05,173
444,13.92,E-commerce - Compra online,2020-01-05,115
445,163.5,Academia - Mensalidade,2020-01-05,106
446,260.8,Loja de Roupas - Vestuário,2020-01-05,31
447,242.33,Cinema - Ingresso,2020-01-05,183
448,147.27,Supermercado - Compra de alimentos,2020-01-05,126
449,279.32,Farmácia - Medicamentos,2020-01-05,142
450,67.88,Cinema - Ingresso,2020-01-05,63
451,281.33,Eletrônicos - Acessórios,2020-01-05,80
452,56.2,Posto de Gasolina - Abastecimento,2020-01-05,239
453,121.75,Livraria - Compra de livros,2020-01-05,166
454,260.62,Eletrônicos - Acessórios,2020-01-05,65
455,37.72,Eletrônicos - Acessórios,2020-01-05,218
456,314.49,Academia - Mensalidade,2020-01-05,147
457,311.68,Posto de Gasolina - Abastecimento,2020-01-05,213
458,478.43,Eletrônicos - Acessórios,2020-01-05,87
459,108.28,Restaurante - Refeição,2020-01-05,53
460,75.75,Supermercado - Compra de alimentos,2020-01-05,77
461,288.44,Supermercado - Compra de alimentos,2020-01-05,170
462,95.54,Restaurante - Refeição,2020-01-05,83
463,242.27,Farmácia - Medicamentos,2020-01-05,132
464,404.83,Farmácia - Medicamentos,2020-01-05,13
465,295.72,Cinema - Ingresso,2020-01-05,94
466,289.07,Loja de Roupas - Vestuário,2020-01-05,134
467,356.0,Cinema - Ingresso,2020-01-05,134
468,304.8,Loja de Roupas - Vestuário,2020-01-05,188
469,481.54,Restaurante - Refeição,2020-01-05,172
470,118.22,Restaurante - Refeição,2020-01-05,178
471,148.88,Restaurante - Refeição,2020-01-05,126
472,70.58,Farmácia - Medicamentos,2020-01-05,65
473,10.59,Supermercado - Compra de alimentos,2020-01-05,181
474,222.25,Supermercado - Compra de alimentos,2020-01-05,85
475,408.65,Restaurante - Refeição,2020-01-05,195
476,184.06,Livraria - Compra de livros,2020-01-05,217
477,388.86,Eletrônicos - Acessórios,2020-01-05,104
478,481.35,Posto de Gasolina - Abastecimento,2020-01-05,186
479,445.57,Academia - Mensalidade,2020-01-05,52
480,192.83,Supermercado - Compra de alimentos,2020-01-05,10
481,445.15,Loja de Roupas - Vestuário,2020-01-05,160
482,277.91,Cinema - Ingresso,2020-01-05,65
483,180.43,Posto de Gasolina - Abastecimento,2020-01-05,30
484,241.65,Cinema - Ingresso,2020-01-05,204
485,268.89,Restaurante - Refeição,2020-01-05,216
486,255.76,Loja de Roupas - Vestuário,2020-01-05,91
487,250.2,Eletrônicos - Acessórios,2020-01-05,98
488,259.45,Livraria - Compra de livros,2020-01-05,221
489,276.95,Cinema - Ingresso,2020-01-05,229
490,331.14,Restaurante - Refeição,2020-01-05,105
491,439.01,Supermercado - Compra de alimentos,2020-01-05,83
492,318.55,Cinema - Ingresso,2020-01-05,87
493,244.97,Eletrônicos - Acessórios,2020-01-05,91
494,74.36,Supermercado - Compra de alimentos,2020-01-05,166
495,185.58,Cinema - Ingresso,2020-01-05,141
496,467.96,Academia - Mensalidade,2020-01-05,90
